type,text
Tweet,PDI confirmó que cadáver encontrado en Lirquén era de joven desaparecida #CooperativaRegiones https://t.co/BQVkqHYn6w https://t.co/Ru92qTDeYO
Tweet,"Latorre pidió elevar la ""proactividad"" frente a la contaminación en Quintero #CooperativaContigo https://t.co/P4GDfJt5jI https://t.co/SOBKsS7JQW"
Tweet,"[Audio] ""Con la tranquilidad del deber cumplido"": Fundición Ventanas inició su cierre este martes #CooperativaContigo https://t.co/1hNXZMdEnO https://t.co/JKO8ybh3zC"
Tweet,"A 50 años del golpe, un tercio de los chilenos cree que Pinochet ""liberó"" al país del marxismo #CooperativaContigo https://t.co/7Djwc6nwP3 https://t.co/zqNufSUSQS"
Tweet,Reforma de diputados PS quiere incluir el texto de la Comisión Experta como opción en el plebiscito #CooperativaContigo https://t.co/vGEDuZuDK5 https://t.co/CdtxOQun9x
Tweet,"Tricel desestimó renuncia de Aldo Sanhueza, consejero acusado de abuso sexual #CooperativaContigo https://t.co/gHstGoqHPQ https://t.co/IW4Qw2Spdh"
Tweet,#CooperativaContigo Anteproyecto listo: La Comisión de Expertos despachó el borrador constitucional https://t.co/NCh8stnas8 https://t.co/Vs7KQOyn2C
Tweet,"Exsuperintendentes proponen compensaciones ""más razonales"" para cumplir el fallo de las isapres #CooperativaContigo https://t.co/sRbxWOxMCI https://t.co/MOdtnHttR0"
Tweet,"Derecha arremete por ""obsesión con la educación sexual"" del ministro Ávila #CooperativaContigo https://t.co/bBtCVt9dsM https://t.co/Lx7DCeiGMI"
Tweet,Sudamérica muestra sus diferencias sobre Venezuela pero apuesta firme en la integración #CooperativaContigo https://t.co/pLyzJp9zGb https://t.co/qAbXpHxibE
Tweet,"Boric discrepó con Lula sobre Venezuela: ""No es una construcción narrativa; es una realidad seria"" #CooperativaContigo https://t.co/8nA9mNquko https://t.co/7cr4BcXpmM"
Tweet,¿Cuándo vuelve el Campeonato Nacional tras el receso de mitad de año? #CooperativaContigo https://t.co/2lHuQENMUB https://t.co/M9xnbFULJH
Tweet,[PREVIA] Sevilla y Roma definen el título de la Europa League en Budapest #UEL #CooperativaContigo https://t.co/B6pmotYFws https://t.co/FfQBZBB0rs
Tweet,Nicolás Jarry y su buen inicio en #RolandGarros: Tener a mi familia al lado ayuda mucho #CooperativaContigo https://t.co/XSFPhERIrP https://t.co/hEHmdrvXxd
Tweet,Las llaves de los octavos de final del Mundial Sub 20 en Argentina #CooperativaContigo https://t.co/XvopruKXyD https://t.co/LOMp4JWb1n
Tweet,La agenda de las Finales de la #NBA entre Denver Nuggets y Miami Heat #CooperativaContigo https://t.co/gpXiAfyMgK https://t.co/WqcSnEAJRK
Tweet,La más barata vale 11 mil pesos: Partió preventa de entradas para el Chile-Cuba #CooperativaContigo https://t.co/ql1eASoY1X https://t.co/6MTQU6HgXv
Tweet,[AGENDA] ¡Miércoles con final europea y Mundial! Revisa cuándo y dónde ver los duelos destacados de este 31 de mayo en la Agenda de TV de @alairelibrecl #CooperativaContigo https://t.co/KSMPSDo64K https://t.co/O9peV5PiU2
Tweet,#CooperativaContigo Niño de ocho años fue sustraído desde un hogar de menores en San Pedro de la Paz https://t.co/MnxA66gb4D https://t.co/itXoOrNzEY
