type,text
Reply,"@_isabelpinom Hola, en Quinta Normal permanecimos detenidos más tiempo del habitual por un tren que presentó un problema técnico. El servicio de trenes ya fue restablecido. Lamentamos los inconvenientes. Slds."
Reply,"@PxtHxC Hola, en Quinta Normal permanecimos detenidos más tiempo del habitual por un tren que presentó un problema técnico. El servicio de trenes ya fue restablecido. Lamentamos los inconvenientes. Slds."
Reply,"@_isabelpinom Hola, en Quinta Normal permanecimos detenidos más tiempo del habitual por un tren que presentó un problema técnico. El servicio de trenes ya fue restablecido. Lamentamos los inconvenientes. Slds."
Reply,"@yomismo1095 Hola, en Quinta Normal permanecimos detenidos más tiempo del habitual por un tren que presentó un problema técnico. El servicio de trenes ya fue restablecido. Lamentamos los inconvenientes. Slds."
Reply,"@ajavir_54 Hola, en Quinta Normal permanecimos detenidos más tiempo del habitual por un tren que presentó un problema técnico. El servicio de trenes ya fue restablecido. Lamentamos los inconvenientes. Slds."
Reply,"@afv0621 Hola, Andrés. Revisaremos con el equipo a cargo esta situación que nos reportas. Sentimos las molestias causadas."
Reply,@bea450671 https://t.co/aXRyFKpT77
Reply,@VictorM90401359 🤗🤗🤗
Tweet,"22:00 hrs. La jornada de hoy en Twitter ha finalizado. El servicio de trenes estará disponible hasta las 23:00 hrs. 
 
¡Que tengas buenas noches!  😴  

Nos leemos mañana desde las 06:00 hrs. https://t.co/qYJj0Gcjhd"
Reply,@jlmoraO Hola! Gracias por escribirnos. Informaremos al área encargada
Tweet,"👀Sabemos que a veces tenemos prisa por llegar a nuestro destino, pero ten presente que tu seguridad y la de otros pasajeros es primero. 

Así que, por favor, evita correr en los pasillos y escaleras. ¡No queremos que te lastimes! 😉 https://t.co/fay3Kg7SXC"
Tweet,"📢Atención, iniciamos la Hora Punta con #TodaLaRed disponible.     

Recuerda seguir las instrucciones del personal de la estación, como esperar el tren detrás de la línea amarilla 💛 y desplazarse a lo largo del andén. Esto nos permite tener viajes más seguro.  🚇❤️ https://t.co/FbutuziXcj"
Reply,@Fermatypipe Revisaremos!
Reply,@JMolinaPelayo ☹️
Reply,@AlonsoRiveraM 😊 https://t.co/8UeAhRLzjM
Reply,@sandrita_ank Hola Sandra! No reportamos incidentes. Nos indicas el número de tu coche?
Tweet,"06:00hrs. ¡Buenos días! Iniciamos una nueva jornada con #TodaLaRed 🚇disponible. Estaremos atentos a sus mensajes para mantenerlos informado.

¡Feliz inicio de semana!❤️✨ https://t.co/ZJiPvdB7qu"
Reply,@Sol71828462 🤭🤭💖 https://t.co/dMMeVglYl5
Tweet,"Únete al equipo de vigilantes privados de Metro 🚇 y ayuda a mejorar la seguridad de nuestra estaciones.

Si eres alguien que se preocupa por la seguridad y quiere ser parte de una solución, entonces ¡esta podría ser la oportunidad perfecta para ti! https://t.co/xvkh08CSFL https://t.co/Fb2ubMs8TV"
Tweet,"Atentas y atentos, hoy 29 de mayo @Bibliometro permanecerá cerrado. Toma en cuenta esta información."
Reply,"@rcatalan1426 @Bibliometro Hola, todos los Biblimetros se encuentran cerrados durante todo el día, solo por hoy 29 de mayo."
Tweet,"⌛️¡Viajemos en el tiempo! Hace 54 años, el 29 de mayo de 1969, las obras del tramo San Pablo - La Moneda de la L1 y del Taller Neptuno comenzaron a construirse, dando inicio a lo que hoy conocemos como nuestra Red de Metro. 🚇

¡Es emocionante 🤩ver este video y contemplar todo… https://t.co/SbKFO4TXBk"
Reply,@Cristia38581786 ❤️✨
Reply,@NomanFranco 😊
Tweet,"📢 ¡Estudiantes de la RM! No dejes de revalidar tu #TNE en la estación de inicio de tu viaje. ¡Te ahorrarás tiempo en el proceso! #RevalidaTuTNE 

¡Tienes hasta el 31 de mayo! 👀 

Obtén más detalles en https://t.co/ZpJfvumuR9 y si necesitas ayuda, contacta a @ayudaJUNAEB. https://t.co/2ACfngaHA7"
Tweet,"🚨Por tu seguridad, evita sentarte en el suelo del tren 🚇. No solo puede resultar incómodo para los demás pasajeros, sino que también es un riesgo en caso de emergencia. https://t.co/ZeYjS39QbL"
Reply,"@BINNI3L0VER @Claudioamunoza Si, fue atendida por el personal."
Reply,@MarioFernndezF5 Vamos a revisar con el equipo esto que nos comenta para que se mejore y mantenerlos informando. Gracias por comprender.
Reply,"@Claudioamunoza @BINNI3L0VER Hola, tuvimos una persona con problemas de salud a bordo de un tren y esto causó que permaneciéramos detenido más tiempo del habitual. Sentimos las molestias causadas. Slds."
Reply,"@bjavyy Hola, por una persona con problema de salud, permanecimos detenidos más tiempo de lo habitual en Laguna Sur. Sentimientos los inconvenientes causados. Slds."
Reply,"@MarioFernndezF5 Hola, Mario. Esto se debió a un persona con problemas de salud a bordo del tren que debía ser atendida. Sentimos las molestias causadas. Slds."
Reply,"@KathyCabust Hola, pediremos que se sonorice en estaciones y trenes. Slds."
Reply,"@Nasc1981 Hola, Nelson, por favor, indícanos la estación."
Reply,"@ftsvalentina Hola, Valentina, por favor, envíanos todos los detalles de lo ocurrido en https://t.co/myLsd0aUDj"
Reply,"@TaniaFernndezT1 Hola, Tania. Que tengas un lindo día 🤗"
Reply,"@BeatrizHuenchul Hola, Cami. Entendemos tu preocupación y estamos de acuerdo en que no solo es molesto, sino también peligroso. Nos comprometemos a seguir difundiendo mensajes educativos para prevenir este tipo de comportamientos. Slds."
